Date,UAL,V,LYFT,COST,ABNB,AMZN,COUR,UBER,AXP,MAR,TWTR,NFLX,AAL,ZM,DAL,MA,HLT,WMT
2019-01-02,84.18,132.919998,0.0,204.759995,0.0,1539.130005,0.0,0.0,95.68,107.459999,28.809999,267.660004,32.48,0.0,50.09,189.740005,70.940002,93.339996
2019-01-03,80.0,128.130005,0.0,200.419998,0.0,1500.280029,0.0,0.0,93.43,101.739998,27.99,271.200012,30.059999,0.0,45.610001,181.179993,67.300003,92.860001
2019-01-04,82.68,133.649994,0.0,206.240005,0.0,1575.390015,0.0,0.0,97.639999,107.809998,29.950001,297.570007,32.040001,0.0,47.790001,189.759995,69.940002,93.440002
2019-01-07,83.230003,136.059998,0.0,207.0,0.0,1629.51001,0.0,0.0,98.169998,108.010002,31.34,315.339996,32.950001,0.0,47.849998,191.220001,70.739998,94.540001
2019-01-08,82.379997,136.800003,0.0,208.550003,0.0,1656.579956,0.0,0.0,98.650002,109.760002,31.799999,320.269989,32.419998,0.0,47.470001,192.279999,71.860001,95.199997
2019-01-09,83.760002,138.410004,0.0,209.899994,0.0,1659.420044,0.0,0.0,98.830002,109.199997,32.25,319.959991,33.419998,0.0,48.470001,195.770004,71.040001,94.889999
2019-01-10,81.370003,138.669998,0.0,210.639999,0.0,1656.219971,0.0,0.0,98.260002,110.050003,33.09,324.660004,32.040001,0.0,48.73,196.949997,72.07,94.959999
2019-01-11,80.07,138.059998,0.0,210.509995,0.0,1640.560059,0.0,0.0,98.550003,109.419998,32.869999,337.589996,31.799999,0.0,48.560001,195.899994,71.889999,94.839996
2019-01-14,79.910004,137.100006,0.0,209.0,0.0,1617.209961,0.0,0.0,98.440002,108.129997,32.369999,332.940002,31.709999,0.0,47.75,195.429993,70.989998,94.949997
2019-01-15,81.199997,137.339996,0.0,211.029999,0.0,1674.560059,0.0,0.0,97.989998,110.18,33.02,354.640015,32.099998,0.0,47.830002,196.520004,72.5,96.25
2019-01-16,86.360001,137.339996,0.0,210.179993,0.0,1683.780029,0.0,0.0,99.410004,109.279999,32.470001,351.390015,32.84,0.0,47.5,197.770004,72.040001,96.349998
2019-01-17,86.739998,137.279999,0.0,211.460007,0.0,1693.219971,0.0,0.0,99.489998,108.470001,32.849998,353.190002,33.580002,0.0,48.220001,199.309998,72.0,96.739998
2019-01-18,85.589996,138.5,0.0,213.589996,0.0,1696.199951,0.0,0.0,100.480003,109.050003,33.27,339.100006,33.970001,0.0,48.110001,202.0,73.080002,97.730003
2019-01-22,83.339996,138.050003,0.0,212.399994,0.0,1632.170044,0.0,0.0,99.830002,107.260002,32.25,325.160004,32.740002,0.0,47.099998,199.460007,71.010002,97.489998
2019-01-23,82.879997,137.009995,0.0,212.089996,0.0,1640.02002,0.0,0.0,99.709999,108.089996,30.969999,321.98999,31.65,0.0,47.299999,198.350006,70.730003,98.709999
2019-01-24,84.029999,137.699997,0.0,210.309998,0.0,1654.930054,0.0,0.0,99.720001,108.239998,31.610001,326.670013,33.66,0.0,47.52,199.789993,71.059998,98.360001
2019-01-25,84.139999,138.669998,0.0,209.070007,0.0,1670.569946,0.0,0.0,100.769997,109.849998,32.900002,338.049988,34.98,0.0,47.689999,202.940002,71.760002,96.940002
2019-01-28,84.599998,135.990005,0.0,210.770004,0.0,1637.890015,0.0,0.0,100.379997,110.529999,33.130001,335.660004,36.57,0.0,48.009998,200.160004,72.309998,97.059998
2019-01-29,85.669998,135.0,0.0,210.309998,0.0,1593.880005,0.0,0.0,100.959999,111.120003,31.639999,328.899994,36.290001,0.0,48.220001,199.240005,73.150002,96.709999
2019-01-30,87.470001,137.600006,0.0,211.350006,0.0,1670.430054,0.0,0.0,102.669998,113.639999,32.259998,340.660004,36.34,0.0,50.27,204.020004,74.129997,94.800003
2019-01-31,87.269997,135.009995,0.0,214.630005,0.0,1718.72998,0.0,0.0,102.699997,114.529999,33.560001,339.5,35.77,0.0,49.43,211.130005,74.480003,95.830002
2019-02-01,87.489998,140.149994,0.0,210.270004,0.0,1626.22998,0.0,0.0,103.059998,114.57,33.189999,339.850006,36.110001,0.0,49.919998,213.770004,74.419998,93.860001
2019-02-04,88.620003,141.5,0.0,211.179993,0.0,1633.310059,0.0,0.0,103.419998,115.650002,33.939999,351.339996,36.779999,0.0,50.34,214.910004,74.730003,94.769997
