Date,Administered
2021-11-20,449955588
2021-11-19,448155906
2021-11-18,446250342
2021-11-17,444789186
2021-11-16,443374199
2021-11-15,442005260
2021-11-14,440559613
2021-11-13,439034461
2021-11-12,437352000
2021-11-11,435999497
2021-11-10,434486889
2021-11-09,433156393
2021-11-08,432111860
2021-11-07,430927624
2021-11-06,429442508
2021-11-05,428006540
2021-11-04,426728092
2021-11-03,425272828
2021-11-02,423942794
2021-11-01,423005384
2021-10-31,422070099
2021-10-30,420657683
2021-10-29,419020753
2021-10-28,417795537
2021-10-27,416154424
2021-10-26,415012026
2021-10-25,414302192
2021-10-24,413645478
2021-10-23,412856169
2021-10-22,411963025
2021-10-21,411010650
2021-10-20,410189737
2021-10-19,409438987
2021-10-18,408797942
2021-10-17,408265959
2021-10-16,407446961
2021-10-15,406570875
2021-10-14,405444558
2021-10-13,404371247
2021-10-12,403576826
2021-10-11,403073841
2021-10-10,402587449
2021-10-09,401819240
2021-10-08,400669422
2021-10-07,399552444
2021-10-06,398675414
2021-10-05,397718055
2021-10-04,396919564
2021-10-03,395934825
2021-10-02,394690283
2021-10-01,393756866
2021-09-30,392909995
2021-09-29,391992662
2021-09-28,391152574
2021-09-27,390664923
2021-09-26,390114328
2021-09-25,389372689
2021-09-24,388567109
2021-09-23,387821704
2021-09-22,387493716
2021-09-21,386780816
2021-09-20,386237881
2021-09-19,385586012
2021-09-18,384911290
2021-09-17,383994877
2021-09-16,383038403
2021-09-15,382294795
2021-09-14,381453265
2021-09-13,380831725
2021-09-12,380241903
2021-09-11,379472220
2021-09-10,378569717
2021-09-09,377622065
2021-09-08,376955132
2021-09-07,375995378
2021-09-06,375492903
2021-09-05,375088354
2021-09-04,374488924
2021-09-03,373516809
2021-09-02,372116617
2021-09-01,371280129
2021-08-31,370212027
2021-08-30,369556911
2021-08-29,368863734
2021-08-28,367911870
2021-08-27,366838484
2021-08-26,365767674
2021-08-25,364842701
2021-08-24,363915792
2021-08-23,363267789
2021-08-22,362657771
2021-08-21,361684564
2021-08-20,360634287
2021-08-19,359623380
2021-08-18,358599835
2021-08-17,357894995
2021-08-16,357292057
2021-08-15,356433665
2021-08-14,355768825
2021-08-13,354777950
2021-08-12,353859894
2021-08-11,353205544
2021-08-10,352550944
2021-08-09,351933175
2021-08-08,351400930
2021-08-07,350627188
2021-08-06,349787479
2021-08-05,348966419
2021-08-04,348102478
2021-08-03,347377149
2021-08-02,346924345
2021-08-01,346456669
2021-07-31,345640466
2021-07-30,344928514
2021-07-29,344071595
2021-07-28,343361524
2021-07-27,342607540
2021-07-26,342212051
2021-07-25,341818968
2021-07-24,341039972
2021-07-23,340363922
2021-07-22,339763765
2021-07-21,339102867
2021-07-20,338491374
2021-07-19,338247434
2021-07-18,337740358
2021-07-17,337239448
2021-07-16,336604158
2021-07-15,336054953
2021-07-14,335487779
2021-07-13,334942236
2021-07-12,334600770
2021-07-11,334151648
2021-07-10,333565404
2021-07-09,332966409
2021-07-08,332345797
2021-07-07,331651464
2021-07-06,331214347
2021-07-05,330994939
2021-07-04,330604253
2021-07-03,329970551
2021-07-02,328809470
2021-07-01,328152304
2021-06-30,326521526
2021-06-29,325152847
2021-06-28,324414371
2021-06-27,323327328
2021-06-26,322123103
2021-06-25,321199379
2021-06-24,320687205
2021-06-23,319872053
2021-06-22,319223844
2021-06-21,318576441
2021-06-20,317966408
2021-06-19,317117797
2021-06-18,316048776
2021-06-17,314969386
2021-06-16,312915170
2021-06-15,311886674
2021-06-14,310645827
2021-06-13,309322545
2021-06-12,308112728
2021-06-11,306509795
2021-06-10,305687618
2021-06-09,304753476
2021-06-08,303923667
2021-06-07,302851917
2021-06-06,301638578
2021-06-05,300268730
2021-06-04,299120522
2021-06-03,297720928
2021-06-02,296912892
2021-06-01,296404240
2021-05-31,295891325
2021-05-30,294928850
2021-05-29,293705050
2021-05-28,292099778
2021-05-27,290724607
2021-05-26,289212304
2021-05-25,287788872
2021-05-24,286890900
2021-05-23,285720586
2021-05-22,283941223
2021-05-21,281595351
2021-05-20,279397250
2021-05-19,277290173
2021-05-18,275535207
2021-05-17,274411901
2021-05-16,272925411
2021-05-15,270832342
2021-05-14,268438666
2021-05-13,266596486
2021-05-12,264680844
2021-05-11,263132561
2021-05-10,261599381
2021-05-09,259716989
2021-05-08,257347205
2021-05-07,254779333
2021-05-06,251973752
2021-05-05,249566820
2021-05-04,247769049
2021-05-03,246780203
2021-05-02,245591469
2021-05-01,243463471
2021-04-30,240159677
2021-04-29,237360493
2021-04-28,234639414
2021-04-27,232407669
2021-04-26,230768454
2021-04-25,228661408
2021-04-24,225640460
2021-04-23,222322230
2021-04-22,218947643
2021-04-21,215951909
2021-04-20,213388238
2021-04-19,211581309
2021-04-18,209406814
2021-04-17,205871913
2021-04-16,202282923
2021-04-15,198317040
2021-04-14,194791836
2021-04-13,192282781
2021-04-12,189692045
2021-04-11,187047131
2021-04-10,183467709
2021-04-09,178837781
2021-04-08,174879716
2021-04-07,171476655
2021-04-06,168592075
2021-04-05,167187795
2021-04-04,165053746
2021-04-03,161688422
2021-04-02,157606463
2021-04-01,153631404
2021-03-31,150273292
2021-03-30,147602345
2021-03-29,145812835
2021-03-28,143462691
2021-03-27,140180735
2021-03-26,136684688
2021-03-25,133305295
2021-03-24,130473853
2021-03-23,128217029
2021-03-22,126509736
2021-03-21,124481412
2021-03-20,121441497
2021-03-19,118313818
2021-03-18,115730008
2021-03-17,113037627
2021-03-16,110737856
2021-03-15,109081860
2021-03-14,107060274
2021-03-13,105703501
2021-03-12,101128005
2021-03-11,98203893
2021-03-10,95721290
2021-03-09,93692598
2021-03-08,92089852
2021-03-07,90351750
2021-03-06,87912323
2021-03-05,85008094
2021-03-04,82572848
2021-03-03,80540474
2021-03-02,78631601
2021-03-01,76899987
2021-02-28,75236003
2021-02-27,72806180
2021-02-26,70454064
2021-02-25,68274117
2021-02-24,66464947
2021-02-23,65032083
2021-02-22,64177474
2021-02-21,63090634
2021-02-20,61289500
2021-02-19,59585043
2021-02-18,57737767
2021-02-17,56281827
2021-02-16,55220364
2021-02-15,54260570
2021-02-14,52884356
2021-02-13,50641884
2021-02-12,48410558
2021-02-11,46390270
2021-02-10,44769970
2021-02-09,43206190
2021-02-08,42417617
2021-02-07,41210937
2021-02-06,39037964
2021-02-05,36819212
2021-02-04,35203710
2021-02-03,33878254
2021-02-02,32780860
2021-02-01,32222402
2021-01-31,31123299
2021-01-30,29577902
2021-01-29,27884661
2021-01-28,26193682
2021-01-27,24652634
2021-01-26,23540994
2021-01-25,22734243
2021-01-24,21848655
2021-01-23,20537990
2021-01-22,19107959
2021-01-21,17546374
2021-01-20,16525281
2021-01-19,16083963
2021-01-18,15462809
2021-01-17,14914759
2021-01-16,14058650
2021-01-15,12917607
2021-01-14,11961374
2021-01-13,10867507
2021-01-12,9880022
2021-01-11,9363164
2021-01-10,8943724
2021-01-09,8216629
2021-01-08,7426145
2021-01-07,6555680
2021-01-06,5824980
2021-01-05,5224925
2021-01-04,4887811
2021-01-03,4648339
2021-01-02,4463060
2021-01-01,4172658
2020-12-31,3738130
2020-12-30,3164852
2020-12-29,2723303
2020-12-28,2408626
2020-12-27,2252406
2020-12-26,2190414
2020-12-25,2033936
2020-12-24,1697791
2020-12-23,1359355
2020-12-22,991182
2020-12-21,801460
2020-12-20,651503
2020-12-19,441650
2020-12-18,254142
2020-12-17,127342
2020-12-16,51634
2020-12-15,12638
2020-12-14,509
2020-12-13,0
