Date,State,Total Cases,conf_cases,prob_cases,Daily New Cases,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
2020-01-22,WI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
2020-01-22,RMI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
2020-01-22,ID,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
2020-01-22,ND,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
2020-01-22,MT,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
2020-01-22,CA,0,0.0,0.0,0,0.0,0,,,0,0.0,01/24/2020 12:00:00 AM,Agree,Not agree
2020-01-22,MN,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,Agree
2020-01-22,FSM,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
2020-01-22,AK,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,
2020-01-22,WY,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
2020-01-22,SD,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,Agree
2020-01-22,TN,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
2020-01-22,DC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,
2020-01-22,VI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,
2020-01-22,NJ,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
2020-01-22,AZ,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
2020-01-22,AS,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,
2020-01-22,WA,0,,,0,0.0,0,,,0,,01/24/2020 12:00:00 AM,,
2020-01-22,LA,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Agree
2020-01-22,NM,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,Not agree
2020-01-22,AL,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,01/24/2020 12:00:00 AM,Agree,Agree
2020-01-22,IA,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
2020-01-22,PW,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,
2020-01-22,OH,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
2020-01-22,NC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
2020-01-22,UT,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
2020-01-22,OK,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Agree
