Date,Total Cases,Daily New Cases
2020-01-22,0,0
2020-01-23,1,1
2020-01-24,2,1
2020-01-25,2,0
2020-01-26,3,1
2020-01-27,3,0
2020-01-28,3,0
2020-01-29,3,0
2020-01-30,3,0
2020-01-31,4,1
2020-02-01,5,1
2020-02-02,8,3
2020-02-03,11,3
2020-02-04,11,0
2020-02-05,11,0
2020-02-06,11,0
2020-02-07,12,1
2020-02-08,12,0
2020-02-09,12,0
2020-02-10,12,0
2020-02-11,12,0
2020-02-12,13,1
2020-02-13,14,1
2020-02-14,14,0
2020-02-15,14,0
2020-02-16,14,0
2020-02-17,16,2
2020-02-18,21,5
2020-02-19,24,3
2020-02-20,25,1
2020-02-21,30,5
2020-02-22,36,6
2020-02-23,36,0
2020-02-24,40,4
2020-02-25,44,4
2020-02-26,52,8
2020-02-27,57,5
2020-02-28,61,4
2020-02-29,70,9
2020-03-01,88,18
2020-03-02,124,36
2020-03-03,188,64
2020-03-04,255,67
2020-03-05,333,78
2020-03-06,454,121
2020-03-07,614,160
2020-03-08,823,209
2020-03-09,1243,420
2020-03-10,1736,493
2020-03-11,2250,514
2020-03-12,2998,748
2020-03-13,3909,911
2020-03-14,5140,1231
2020-03-15,7342,2202
2020-03-16,9691,2349
2020-03-17,12913,3222
2020-03-18,17816,4903
2020-03-19,23990,6174
2020-03-20,31427,7437
2020-03-21,40645,9218
2020-03-22,51513,10868
2020-03-23,62241,10728
2020-03-24,73592,11351
2020-03-25,87752,14160
2020-03-26,106524,18772
2020-03-27,126563,20039
2020-03-28,147198,20635
2020-03-29,173532,26334
2020-03-30,189363,15831
2020-03-31,212659,23296
2020-04-01,241007,28348
2020-04-02,271052,30045
2020-04-03,302890,31838
2020-04-04,335382,32492
2020-04-05,362860,27478
2020-04-06,391444,28584
2020-04-07,421669,30225
2020-04-08,455351,33682
2020-04-09,490339,34988
2020-04-10,522259,31920
2020-04-11,554466,32207
2020-04-12,582264,27798
2020-04-13,607196,24932
2020-04-14,632382,25186
2020-04-15,657761,25379
2020-04-16,689583,31822
2020-04-17,719361,29778
2020-04-18,746961,27600
2020-04-19,774846,27885
2020-04-20,800657,25811
2020-04-21,826112,25455
2020-04-22,857546,31434
2020-04-23,890543,32997
2020-04-24,924673,34130
2020-04-25,958051,33378
2020-04-26,985286,27235
2020-04-27,1009505,24219
2020-04-28,1032992,23487
2020-04-29,1060198,27206
2020-04-30,1092623,32425
2020-05-01,1122848,30225
2020-05-02,1151245,28397
2020-05-03,1179086,27841
2020-05-04,1200265,21179
2020-05-05,1223471,23206
2020-05-06,1247774,24303
2020-05-07,1278389,30615
2020-05-08,1306434,28045
2020-05-09,1332403,25969
2020-05-10,1354055,21652
2020-05-11,1373354,19299
2020-05-12,1397614,24260
2020-05-13,1415355,17741
2020-05-14,1449888,34533
2020-05-15,1477008,27120
2020-05-16,1502311,25303
2020-05-17,1521536,19225
2020-05-18,1546227,24691
2020-05-19,1566918,20691
2020-05-20,1591408,24490
2020-05-21,1616931,25523
2020-05-22,1642960,26029
2020-05-23,1663939,20979
2020-05-24,1685704,21765
2020-05-25,1704853,19149
2020-05-26,1721806,16953
2020-05-27,1742175,20369
2020-05-28,1766374,24199
2020-05-29,1789928,23554
2020-05-30,1813638,23710
2020-05-31,1834844,21206
2020-06-01,1852202,17358
2020-06-02,1872933,20731
2020-06-03,1894042,21109
2020-06-04,1914755,20713
2020-06-05,1939181,24426
2020-06-06,1962755,23574
2020-06-07,1980536,17781
2020-06-08,1998574,18038
2020-06-09,2017170,18596
2020-06-10,2039653,22483
2020-06-11,2062341,22688
2020-06-12,2091088,28747
2020-06-13,2117096,26008
2020-06-14,2137716,20620
2020-06-15,2158304,20588
2020-06-16,2183230,24926
2020-06-17,2208833,25603
2020-06-18,2237593,28760
2020-06-19,2270902,33309
2020-06-20,2304241,33339
2020-06-21,2331568,27327
2020-06-22,2360267,28699
2020-06-23,2398188,37921
2020-06-24,2435619,37431
2020-06-25,2482629,47010
2020-06-26,2529183,46554
2020-06-27,2572802,43619
2020-06-28,2610599,37797
2020-06-29,2649202,38603
2020-06-30,2695790,46588
2020-07-01,2755533,59743
2020-07-02,2811143,55610
2020-07-03,2871437,60294
2020-07-04,2921032,49595
2020-07-05,2961451,40419
2020-07-06,3012665,51214
2020-07-07,3068725,56060
2020-07-08,3134104,65379
2020-07-09,3196421,62317
2020-07-10,3264993,68572
2020-07-11,3333128,68135
2020-07-12,3392772,59644
2020-07-13,3449315,56543
2020-07-14,3514321,65006
2020-07-15,3586631,72310
2020-07-16,3656815,70184
2020-07-17,3733901,77086
2020-07-18,3801700,67799
2020-07-19,3861621,59921
2020-07-20,3920638,59017
2020-07-21,3983966,63328
2020-07-22,4056631,72665
2020-07-23,4130693,74062
2020-07-24,4204606,73913
2020-07-25,4265689,61083
2020-07-26,4324695,59006
2020-07-27,4377960,53265
2020-07-28,4437154,59194
